Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1303.6404257003046
FDW14,OUT017,1838.9530293423973
NCN55,OUT010,310.62388044993634
FDQ58,OUT017,1574.1375045163802
FDY38,OUT027,1563.0309022095687
FDH56,OUT046,1429.846846223352
FDL48,OUT018,758.1667370675162
FDC48,OUT027,1979.8234967866376
FDN33,OUT045,916.4874422558756
FDA36,OUT017,1585.789837594273
FDT44,OUT017,909.6627533351294
FDQ56,OUT045,897.2553929769153
NCC54,OUT019,354.35306685170434
FDU11,OUT049,943.4051545355052
DRL59,OUT013,1284.2999258943155
FDM24,OUT049,1102.3963732407422
FDI57,OUT045,1696.4987225906273
DRC12,OUT018,1293.6840904873998
NCM42,OUT027,1745.3287897625323
FDA46,OUT010,453.4912905014982
FDA31,OUT013,908.2557372928082
NCJ31,OUT035,1119.4950733058179
FDG52,OUT046,1125.0693479035913
NCL19,OUT019,286.19071534942924
FDS10,OUT035,1423.556330960262
FDX22,OUT010,124.72781215771613
NCF19,OUT035,1354.4594904598116
NCE06,OUT046,1153.14311317747
DRC27,OUT046,1131.2418294708561
FDE21,OUT035,1487.4414182459896
NCR42,OUT019,398.83863245263285
FDX51,OUT018,1430.881255178675
NCR06,OUT018,1236.1834094034577
FDU31,OUT027,2103.517261407017
FDU59,OUT017,830.3881576774587
FDR03,OUT027,2053.5656825974274
FDS49,OUT027,1512.871756892725
FDD48,OUT010,25.960241537530433
NCF18,OUT017,1023.427203893343
NCD43,OUT027,1745.3287897625323
NCD54,OUT018,1236.1834094034577
FDY19,OUT010,21.061485672843872
NCY54,OUT017,1023.427203893343
NCL19,OUT018,1329.1425577175914
FDP23,OUT010,9.041092785866375
FDC26,OUT013,797.5958791977657
FDR14,OUT010,488.24199267863474
NCS41,OUT035,1314.5666621519601
FDF41,OUT035,943.3492455837045
FDU34,OUT046,948.726524709271
DRH11,OUT046,894.4375919245017
FDM03,OUT013,905.3272104310139
FDS31,OUT017,1802.3448926156025
FDJ20,OUT017,989.4604607518744
FDV44,OUT027,2103.517261407017
FDG02,OUT049,1302.6200241166682
FDA09,OUT013,1497.4585457109513
FDT04,OUT013,839.437615873544
FDL58,OUT019,264.63965241080354
FDE52,OUT045,1669.609976669362
FDW12,OUT035,1636.2185627574777
FDL51,OUT017,1838.9530293423973
NCY42,OUT027,1745.3287897625323
FDR07,OUT017,818.1623657483761
FDN40,OUT045,825.2545177443847
FDB35,OUT027,1880.5966426234813
FDA22,OUT017,872.5955762035273
NCL06,OUT046,903.8197609819645
FDI35,OUT013,1258.0037342537842
NCW42,OUT045,1329.2462119079808
NCX06,OUT049,1208.9743837291496
FDC37,OUT027,1979.8234967866376
FDZ14,OUT018,1554.821765843471
DRG49,OUT049,1144.779360184993
NCG06,OUT045,1329.2462119079808
DRC36,OUT045,1458.616868394461
FDV21,OUT019,371.336452344605
FDB53,OUT046,956.6069238972476
DRP47,OUT019,422.2282122004688
FDA14,OUT013,1412.7013557715163
DRC24,OUT035,1327.7110595068552
FDW21,OUT018,1471.8455571148436
NCH29,OUT046,1105.7033246953863
FDU58,OUT013,1497.4585457109513
FDY27,OUT017,1683.260994279485
FDV56,OUT035,1668.3687138211444
FDT59,OUT046,1137.8084845358117
FDB23,OUT046,1302.590127911829
FDR49,OUT045,838.9873490293728
FDB03,OUT010,389.14293685536535
FDN39,OUT045,1565.9820981986206
FDX02,OUT027,2121.17037392977
FDQ16,OUT027,1894.9889713206828
FDU35,OUT018,660.0315863389168
NCT29,OUT013,1270.6695164985388
FDZ27,OUT046,1228.8869699418833
FDN57,OUT017,1574.1375045163802
FDA03,OUT018,1554.821765843471
FDZ36,OUT045,1634.7972048996496
NCU05,OUT013,1270.6695164985388
FDT39,OUT018,1430.881255178675
FDK60,OUT017,970.1331236988841
FDZ25,OUT017,1773.0967747560921
FDG12,OUT046,1448.9834452225227
DRB01,OUT019,496.8116582421349
NCC43,OUT027,1323.161535031818
FDX13,OUT019,463.51883095556406
FDM22,OUT049,1476.1293215459393
